id;nombre;sexo;trato;circunscripcion;partido;fecha_condicion_plena;fecha_alta;fecha_baja;g_par;fecha_alta_g_par;fecha_baja_g_par;biografia;asiento;gobierno
1;Abades Martínez, Cristina;M;Diputada;Lugo;PP;/Date(1692226800000)/;/Date(1691449200000)/;;Popular en el Congreso;/Date(1692313200000)/;;Licenciada en Derecho por la Universidad de Santiago de Compostela.   1995.   Funcionaria de administración local, letrada asesora del Ayuntamiento de Cervo.   2006.   Subdirectora de la Asesoría Jurídica de la Diputación Provincial de Lugo 2015.   Jefa territorial en Lugo de la Consejería de Política Social de la Xunta de Galicia 2018 2021.   Jefa de Área Técnica en Lugo en el Servicio de Emergencias de la Xunta de Galicia.   Concejala del grupo municipal del Partido Popular de Lugo 2019 2023.   Vicesecretaria de Acción Social y miembro del Comité Ejecutivo Provincial del Partido Popular de Lugo.   Diploma de Directivo en el ámbito de la administración local de Galicia. ;45;0
2;Ábalos Meco, José Luis;H;Diputado;València;IND;/Date(1692226800000)/;/Date(1691362800000)/;;Mixto;/Date(1708992000000)/;;"Maestro 
Consultor de Cooperación Internacional 
Jefe de Gabinete del delegado del Gobierno en la Comunitat Valenciana (1983-1987)  
Jefe de Gabinete del conseller de Treball i Seguretat Social de la Generalitat Valenciana (1988-1991)  
Director del Programa de Cooperación Internacional de la Generalitat Valenciana (1989-1992)  
Asesor del Ayuntamiento de Valencia (1992-1999)  Concejal del Ayuntamiento de Valencia (1999-2009)  Diputado Provincial de Valencia (2003-2007)  Ministro de Fomento (2018-2020)  Ministro de Transportes, Movilidad y Agenda Urbana (2020-2021)";40;0
3;Abascal Conde, Santiago;H;Diputado;Madrid;VOX;/Date(1692226800000)/;/Date(1692140400000)/;;Vox;/Date(1692313200000)/;;Casado. Cuatro hijos.  Presidente de VOX  Licenciado en Sociología;192;0
4;Acedo Reyes, Sofía;M;Diputada;Melilla;PP;/Date(1692226800000)/;/Date(1691017200000)/;;Popular en el Congreso;/Date(1692313200000)/;;Abogada, socióloga y mediadora.   Licenciada en Sociología y Ciencias Políticas, especialidad Sociología.   Graduada en Derecho.   Mediadora oficial del Ministerio de Justicia.   Cargo público desde 2011, Diputada autonómica Melilla.   2011-2015, Viceconsejera y presidenta promesa.   2015-2016, Consejera.   Desde 2015-2016 senadora. ;282;0
5;Aceves Galindo, José Luis;H;Diputado;Segovia;PSOE;/Date(1692226800000)/;/Date(1691017200000)/;;Socialista;/Date(1693177200000)/;;"Casado. Tres hijos, dos hijos y una hija.  Graduado en Ciencias Políticas y de la Administración por la UNED  Técnico Auxiliar Forestal. Escuela de
Capataces Forestales de Coca (Segovia)  BUP - IES Cauca Romana  Concejal del Ayuntamiento de Coca (Segovia) (2003-2015)  Diputado Provincial Segovia (2003-2015)  Procurador a Cortes de Castilla y León (2015-2019)  Actualmente Secretario General Provincial del PSOE de Segovia";256;0
6;Adrio Taracido, María;M;Diputada;Pontevedra;PSOE;/Date(1692226800000)/;/Date(1691362800000)/;;Socialista;/Date(1693177200000)/;;Residió siempre en Pontevedra, donde ejerció la abogacía hasta el 15 de junio de 2021 en que dio de baja como ejerciente en el ilustre Colegio Abogados de Pontevedra.   Casada y con dos hijos.   Licenciada en Derecho y Diplomada en Criminología.   Concejal del Ayuntamiento de Pontevedra 1990 1995.   Senadora, XIII y XIV Legislatura. ;197;0
7;Agirretxea Urresti, Joseba Andoni;H;Diputado;Gipuzkoa;EAJ-PNV;/Date(1692226800000)/;/Date(1692140400000)/;;Vasco (EAJ-PNV);/Date(1692313200000)/;;Estudios de Filología Vasca (Universidad de Deusto).   Asesor de Comunicación en instituciones públicas y privadas.  Profesional de la comunicación y consultor.   Profesional de radio y televisión.  Concejal en Ondarroa (1987-1990).;141;0
8;Agüera Gago, Cristina;M;Diputada;Barcelona;PP;/Date(1692226800000)/;/Date(1691362800000)/;;Popular en el Congreso;/Date(1692313200000)/;;Graduada en Derecho, Máster en Asesoría Fiscal y Máster Abogacía ESADE.   Segunda teniente de Alcalde de Badalona.  Concejal del Ayuntamiento de Badalona. Portavoz Grupo municipal Popular desde 2019.;158;0
9;Aguirre Gil de Biedma, Rocío;M;Diputada;Madrid;VOX;/Date(1705363200000)/;/Date(1705363200000)/;;Vox;/Date(1705363200000)/;;Licenciada en Geografía e Historia por la Universidad Complutense de Madrid. MBA por el Instituto de Empresa;18;0
10;Aizcorbe Torra, Juan José;H;Diputado;Barcelona;VOX;/Date(1692226800000)/;/Date(1690930800000)/;;Vox;/Date(1692313200000)/;;Casado y tres hijos.   Licenciado en Derecho por la Universidad de Barcelona  Abogado  Administrador concursal ;48;0
