id,votacion_uid,zip_file,xml_file,sesion,numero,fecha,titulo_punto,texto_expediente,asentimiento,presentes,a_favor,en_contra,abstenciones,no_votan,iniciativa_id,iniciativa_match_status,iniciativa_match_score,iniciativa_second_best
1,VOT_20250122154424.zip__sesion89votacion1.xml__S89_V1_2025-01-22,VOT_20250122154424.zip,sesion89votacion1.xml,89,1,2025-01-22,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 9/2024, de 23 de diciembre, por el que se adoptan medidas urgentes en materia económica, tributaria, de transporte, y de Seguridad Social, y se prorrogan determinadas medidas para hacer frente a situaciones de vulnerabilidad social.",No,349,171,177,1,1,,ambiguous,0.821,158:0.777
2,VOT_20250122154424.zip__sesion89votacion2.xml__S89_V2_2025-01-22,VOT_20250122154424.zip,sesion89votacion2.xml,89,2,2025-01-22,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 10/2024, de 23 de diciembre, para el establecimiento de un gravamen temporal energético durante el año 2025.",No,349,165,183,1,1,,unmatched,0.440,5:0.382
3,VOT_20250122154424.zip__sesion89votacion3.xml__S89_V3_2025-01-22,VOT_20250122154424.zip,sesion89votacion3.xml,89,3,2025-01-22,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 11/2024, de 23 de diciembre, para la mejora de la compatibilidad de la pensión de jubilación con el trabajo.",No,349,298,51,0,1,,ambiguous,0.662,156:0.433
4,VOT_20250122154424.zip__sesion89votacion4.xml__S89_V4_2025-01-22,VOT_20250122154424.zip,sesion89votacion4.xml,89,4,2025-01-22,Convalidación o derogación de Reales Decretos-leyes.,"Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-ley 11/2024, de 23 de diciembre, para la mejora de la compatibilidad de la pensión de jubilación con el trabajo.",No,349,349,0,0,1,124,ok,0.990,156:0.990
5,VOT_20250122154424.zip__sesion89votacion5.xml__S89_V5_2025-01-22,VOT_20250122154424.zip,sesion89votacion5.xml,89,5,2025-01-22,Dictamen de la Comisión del Estatuto de los Diputados.,Dictamen de la Comisión del Estatuto de los Diputados acerca del suplicatorio formulado en relación con un Sr. Diputado.,No,345,345,0,0,5,,unmatched,0.326,63:0.310
6,VOT_20250211202646.zip__sesion90votacion1.xml__S90_V1_2025-02-11,VOT_20250211202646.zip,sesion90votacion1.xml,90,1,2025-02-11,Toma en consideración de Proposiciones de Ley de Comunidades y Ciudades Autónomas.,"Proposición de Ley del Parlamento de Andalucía, de reforma parcial del texto refundido de la Ley del Estatuto Básico del Empleado Público, aprobado por Real Decreto Legislativo 5/2015, de 30 de octubre.",No,344,344,0,0,6,,unmatched,0.314,189:0.218
7,VOT_20250211202646.zip__sesion90votacion2.xml__S90_V2_2025-02-11,VOT_20250211202646.zip,sesion90votacion2.xml,90,2,2025-02-11,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley del Grupo Parlamentario Popular en el Congreso, relativa a la violencia en el ámbito sanitario.",No,344,171,173,0,6,,unmatched,0.528,199:0.359
8,VOT_20250212154035.zip__sesion91votacion1.xml__S91_V1_2025-02-12,VOT_20250212154035.zip,sesion91votacion1.xml,91,1,2025-02-12,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario Popular en el Congreso, sobre el cierre programado de la generación nuclear en España.",No,349,171,164,14,1,,unmatched,0.324,98:0.324
9,VOT_20250212154035.zip__sesion91votacion2.xml__S91_V2_2025-02-12,VOT_20250212154035.zip,sesion91votacion2.xml,91,2,2025-02-12,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario Socialista, sobre la menopausia.
Se vota en los términos de la enmienda transaccional presentada por el Grupo Parlamentario Socialista, el Grupo Parlamentario Plurinacional SUMAR y el Grupo Parlamentario Mixto (Sr. Javier Sánchez Serna).",No,349,316,33,0,1,,unmatched,0.246,176:0.228
10,VOT_20250212154035.zip__sesion91votacion3.xml__S91_V3_2025-02-12,VOT_20250212154035.zip,sesion91votacion3.xml,91,3,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Mixto (Sra. Valido García), sobre la atención sanitaria a los miles de migrantes que llegan a las costas canarias cada mes.",No,348,315,33,0,2,,unmatched,0.300,22:0.300
11,VOT_20250212154035.zip__sesion91votacion4.xml__S91_V4_2025-02-12,VOT_20250212154035.zip,sesion91votacion4.xml,91,4,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario VOX, sobre cuáles son los planes del Gobierno para hacer frente al invierno demográfico que amenaza el futuro de España.",No,348,33,177,138,2,,unmatched,0.407,163:0.299
12,VOT_20250212154035.zip__sesion91votacion5.xml__S91_V5_2025-02-12,VOT_20250212154035.zip,sesion91votacion5.xml,91,5,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,347,169,178,0,3,,unmatched,0.306,74:0.292
13,VOT_20250212154035.zip__sesion91votacion6.xml__S91_V6_2025-02-12,VOT_20250212154035.zip,sesion91votacion6.xml,91,6,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,348,170,178,0,2,,unmatched,0.306,74:0.292
14,VOT_20250212154035.zip__sesion91votacion7.xml__S91_V7_2025-02-12,VOT_20250212154035.zip,sesion91votacion7.xml,91,7,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,347,171,176,0,3,,unmatched,0.306,74:0.292
15,VOT_20250212154035.zip__sesion91votacion8.xml__S91_V8_2025-02-12,VOT_20250212154035.zip,sesion91votacion8.xml,91,8,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,348,171,177,0,2,,unmatched,0.306,74:0.292
16,VOT_20250212154035.zip__sesion91votacion9.xml__S91_V9_2025-02-12,VOT_20250212154035.zip,sesion91votacion9.xml,91,9,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,349,171,178,0,1,,unmatched,0.306,74:0.292
17,VOT_20250212154035.zip__sesion91votacion10.xml__S91_V10_2025-02-12,VOT_20250212154035.zip,sesion91votacion10.xml,91,10,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,349,171,178,0,1,,unmatched,0.306,74:0.292
18,VOT_20250212154035.zip__sesion91votacion11.xml__S91_V11_2025-02-12,VOT_20250212154035.zip,sesion91votacion11.xml,91,11,2025-02-12,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Popular en el Congreso, sobre el balance de las actuaciones del Gobierno que han provocado el deterioro democrático actual.",No,348,171,177,0,2,,unmatched,0.306,74:0.292
19,VOT_20250212154035.zip__sesion91votacion12.xml__S91_V12_2025-02-12,VOT_20250212154035.zip,sesion91votacion12.xml,91,12,2025-02-12,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 1/2025, de 28 de enero, por el que se aprueban medidas urgentes en materia económica, de transporte, de Seguridad Social, y para hacer frente a situaciones de vulnerabilidad.",No,349,315,33,1,1,163,ok,1.000,126:0.745
20,VOT_20250212154035.zip__sesion91votacion13.xml__S91_V13_2025-02-12,VOT_20250212154035.zip,sesion91votacion13.xml,91,13,2025-02-12,Convalidación o derogación de Reales Decretos-leyes.,"Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-ley 1/2025, de 28 de enero, por el que se aprueban medidas urgentes en materia económica, de transporte, de Seguridad Social, y para hacer frente a situaciones de vulnerabilidad.",No,348,347,1,0,2,162,ok,0.990,126:0.990
21,VOT_20250212154035.zip__sesion91votacion14.xml__S91_V14_2025-02-12,VOT_20250212154035.zip,sesion91votacion14.xml,91,14,2025-02-12,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo de cooperación científica entre el Reino de España y los Estados Unidos de América sobre la estación de seguimiento de la NASA, hecho en Madrid el 10 de junio de 2024.",No,348,327,1,20,2,,unmatched,0.274,79:0.261
22,VOT_20250212154035.zip__sesion91votacion15.xml__S91_V15_2025-02-12,VOT_20250212154035.zip,sesion91votacion15.xml,91,15,2025-02-12,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Protocolo común relativo a la aplicación de la Convención de Viena y del Convenio de París, hecho en Viena el 21 de septiembre de 1988.",No,347,327,0,20,3,,unmatched,0.313,122:0.305
23,VOT_20250212154035.zip__sesion91votacion16.xml__S91_V16_2025-02-12,VOT_20250212154035.zip,sesion91votacion16.xml,91,16,2025-02-12,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo Global de Transporte Aéreo entre los Estados miembros de la Asociación de Naciones del Asia Sudoriental y la Unión Europea y sus Estados miembros, hecho en Bali, Indonesia, el 17 de octubre de 2022, y Declaración que España desea formular.",No,347,294,0,53,3,,unmatched,0.254,80:0.238
24,VOT_20250212154035.zip__sesion91votacion17.xml__S91_V17_2025-02-12,VOT_20250212154035.zip,sesion91votacion17.xml,91,17,2025-02-12,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Canje de Notas constitutivo de Acuerdo entre el Reino de España y la Agencia Espacial Europea por el que se enmienda el Acuerdo entre el Reino de España y la Agencia Espacial Europea relativo a los emplazamientos de la Agencia Espacial Europea en el Reino de España, hecho en Madrid el 10 y 17 de julio de 2024.",No,348,328,0,20,2,,unmatched,0.246,37:0.233
25,VOT_20250212154035.zip__sesion91votacion18.xml__S91_V18_2025-02-12,VOT_20250212154035.zip,sesion91votacion18.xml,91,18,2025-02-12,Solicitud de prórroga de Subcomisiones.,"Solicitud de la Comisión de Sanidad, de prórroga del plazo para la conclusión de los trabajos de la Subcomisión para mejorar la protección, la promoción y la atención integral de la salud mental, constituida en el seno de la citada Comisión, hasta el final del próximo periodo de sesiones.",No,348,348,0,0,2,,unmatched,0.275,49:0.272
26,VOT_20250218194303.zip__sesion92votacion1.xml__S92_V1_2025-02-18,VOT_20250218194303.zip,sesion92votacion1.xml,92,1,2025-02-18,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley de los Grupos Parlamentarios Socialista y Mixto, de modificación de la Ley 19/1994, de 6 de julio, de modificación del Régimen Económico y Fiscal de Canarias, para la regulación de las inversiones en elementos patrimoniales afectos a la actividad de arrendamiento de vivienda en las Islas Canarias.",No,342,299,37,6,8,188,ok,0.736,74:0.422
27,VOT_20250218194303.zip__sesion92votacion2.xml__S92_V2_2025-02-18,VOT_20250218194303.zip,sesion92votacion2.xml,92,2,2025-02-18,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley del Grupo Parlamentario VOX, de modificación de la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, con el fin de modificar el padrón municipal en los casos de ocupación y de inmigración ilegal.",No,343,169,174,0,7,,unmatched,0.518,118:0.379
28,VOT_20250219135528.zip__sesion93votacion1.xml__S93_V1_2025-02-19,VOT_20250219135528.zip,sesion93votacion1.xml,93,1,2025-02-19,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario VOX, relativa a la precariedad que están sufriendo las familias españolas ante el aumento de los precios y de los impuestos que gravan la cesta de la compra.",No,344,32,175,137,6,,unmatched,0.359,74:0.304
29,VOT_20250219135528.zip__sesion93votacion2.xml__S93_V2_2025-02-19,VOT_20250219135528.zip,sesion93votacion2.xml,93,2,2025-02-19,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario Plurinacional SUMAR, relativa al fondo complementario que compense la merma de ingresos que va a sufrir en 2025 la Comunidad Autónoma de Aragón.",No,343,174,152,17,7,,unmatched,0.360,172:0.360
30,VOT_20250219135528.zip__sesion93votacion3.xml__S93_V3_2025-02-19,VOT_20250219135528.zip,sesion93votacion3.xml,93,3,2025-02-19,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario Plurinacional SUMAR, relativa al fondo complementario que compense la merma de ingresos que va a sufrir en 2025 la Comunidad Autónoma de Aragón.",No,344,290,33,21,6,,unmatched,0.360,172:0.360
31,VOT_20250219135528.zip__sesion93votacion5.xml__S93_V5_2025-02-19,VOT_20250219135528.zip,sesion93votacion5.xml,93,5,2025-02-19,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Mixto (Sra. Belarra Urteaga), sobre la política del Gobierno para garantizar el derecho a la vivienda.",No,344,12,301,31,6,,unmatched,0.439,46:0.394
32,VOT_20250219135528.zip__sesion93votacion6.xml__S93_V6_2025-02-19,VOT_20250219135528.zip,sesion93votacion6.xml,93,6,2025-02-19,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Mixto (Sra. Belarra Urteaga), sobre la política del Gobierno para garantizar el derecho a la vivienda.",No,340,42,298,0,10,,unmatched,0.439,46:0.394
33,VOT_20250219135528.zip__sesion93votacion7.xml__S93_V7_2025-02-19,VOT_20250219135528.zip,sesion93votacion7.xml,93,7,2025-02-19,Mociones consecuencia de interpelaciones urgentes.,"Moción consecuencia de interpelación urgente del Grupo Parlamentario Mixto (Sra. Belarra Urteaga), sobre la política del Gobierno para garantizar el derecho a la vivienda.",No,344,43,175,126,6,,unmatched,0.439,46:0.394
